"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","Update operation","tests","Wed Aug 06 18:54:27 GMT 2025","passed","Wed Aug 06 18:54:27 GMT 2025","TestOperations","test_operations","",""
"","104","Get operation","tests","Wed Aug 06 18:54:28 GMT 2025","passed","Wed Aug 06 18:54:28 GMT 2025","TestOperations","test_operations","",""
"","197","Delete operation","tests","Wed Aug 06 18:54:28 GMT 2025","passed","Wed Aug 06 18:54:28 GMT 2025","TestOperations","test_operations","",""
"","340","Create operation","tests","Wed Aug 06 18:54:27 GMT 2025","passed","Wed Aug 06 18:54:27 GMT 2025","TestOperations","test_operations","",""
"","673","Get operations","tests","Wed Aug 06 18:54:27 GMT 2025","passed","Wed Aug 06 18:54:27 GMT 2025","TestOperations","test_operations","",""
