"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","Delete operation","tests","Tue Aug 05 14:44:43 GMT 2025","passed","Tue Aug 05 14:44:43 GMT 2025","TestOperations","test_operations","",""
"","720","Get operations","tests","Tue Aug 05 14:44:42 GMT 2025","passed","Tue Aug 05 14:44:43 GMT 2025","TestOperations","test_operations","",""
"","84","Get operation","tests","Tue Aug 05 14:44:43 GMT 2025","passed","Tue Aug 05 14:44:43 GMT 2025","TestOperations","test_operations","",""
"","329","Create operation","tests","Tue Aug 05 14:44:42 GMT 2025","passed","Tue Aug 05 14:44:42 GMT 2025","TestOperations","test_operations","",""
"","88","Update operation","tests","Tue Aug 05 14:44:43 GMT 2025","passed","Tue Aug 05 14:44:43 GMT 2025","TestOperations","test_operations","",""
